英汉翻译：
傲慢与偏见
段落： 2100

select * from word_dict2 where p>.8;
+----------------+-----------------+----------+
| doc_w          | title_w         | p        |
+----------------+-----------------+----------+
| 1              | 第一章          |        1 |
| 10             | 第十章          |        1 |
| 11             | 第十一章        |        1 |
| 12             | 第十二章        |        1 |
| 13             | 第十三章        |        1 |
| 14             | 第十四章        |        1 |
| 16             | 第十六章        |        1 |
| 17             | 第十七章        |        1 |
| 19             | 第十九章        |        1 |
| 2              | 第二章          |        1 |
| 20             | 第二十章        |        1 |
| 21             | 第二十一章      |        1 |
| 22             | 第二十二章      |        1 |
| 23             | 第二十三章      |        1 |
| 24             | 第二十四章      |        1 |
| 25             | 第二十五章      |        1 |
| 27             | 第二十七章      |        1 |
| 28             | 第二十八章      |        1 |
| 29             | 第二十九章      |        1 |
| 3              | 第三章          |        1 |
| 30             | 第三十章        |        1 |
| 31             | 第三十一章      |        1 |
| 32             | 第三十二章      |        1 |
| 33             | 第三十三章      |        1 |
| 34             | 第三十四章      |        1 |
| 35             | 第三十五章      |        1 |
| 36             | 第三十六章      |        1 |
| 37             | 第三十七章      |        1 |
| 38             | 第三十八章      |        1 |
| 39             | 第三十九章      |        1 |
| 4              | 第四章          | 0.914918 |
| 40             | 第四十章        |        1 |
| 41             | 第四十一章      |        1 |
| 42             | 第四十二章      |        1 |
| 43             | 第四十三章      |        1 |
| 44             | 第四十四章      |        1 |
| 45             | 第四十五章      |        1 |
| 46             | 第四十六章      |        1 |
| 47             | 第四十七章      |        1 |
| 48             | 第四十八章      |        1 |
| 49             | 第四十九章      |        1 |
| 5              | 第五章          |        1 |
| 50             | 第五十章        |        1 |
| 51             | 第五十一章      |        1 |
| 52             | 第五十二章      |        1 |
| 53             | 第五十三章      |        1 |
| 54             | 第五十四章      |        1 |
| 55             | 第五十五章      |        1 |
| 56             | 第五十六章      |        1 |
| 57             | 第五十七章      |        1 |
| 58             | 第五十八章      |        1 |
| 59             | 第五十九章      |        1 |
| 6              | 第六章          |        1 |
| 60             | 第六十章        |        1 |
| 61             | 第六十一章      |        1 |
| 7              | 第七章          |        1 |
| 8              | 第八章          |        1 |
| 9              | 第九章          |        1 |
| abide          | 行事            | 0.999999 |
| accidentally   | 偶然            |  0.81181 |
| accounted      | 像              |   0.9687 |
| accustomed     | 切身            | 0.850942 |
| acquiescence   | 默认            |  0.99988 |
| adjusting      | 发表意见        |        1 |
| admirable      | 巴结            | 0.804914 |
| affable        | 穷苦            | 0.854735 |
| alike          | 那就是说        | 0.830058 |
| alive          | 使嘉丁纳        | 0.875819 |
| allude         | 继承权          |        1 |
| alter          | 变动            |        1 |
| angrily        | 说法            |        1 |
| answering      | 似乎            | 0.829594 |
| apprehensive   | 有种            |  0.92234 |
| army           | 军队            | 0.802327 |
| arranges       | 调遣            |        1 |
| assemblies     | 忘啦            | 0.834327 |
| aunts          | 说得对          |        1 |
| awake          | 达到            | 0.881145 |
| barnet         | 巴纳特          |   0.8966 |
| belonging      | 岂              |        1 |
| benches        | 长凳            | 0.803886 |
| bid            | 吩咐            | 0.999573 |
| biting         | 咬              |        1 |
| blamed         | 不该            | 0.995621 |
| brightening    | 脸色            |        1 |
| capacity       | 好学            | 0.834537 |
| carrying       | 婚事            |  0.80518 |
| censured       | 轻视            | 0.855893 |
| censuring      | 轻易            |        1 |
| comers         | 搬              |        1 |
| compare        | 无从谈起        |        1 |
| compliance     | 一窍不通        | 0.854106 |
| conditionally  | 自由            |  0.81099 |
| conjugal       | 互敬互爱        | 0.808429 |
| conjunction    | 他的            |        1 |
| consigned      | 大厅            | 0.998546 |
| contains       | 真叫            | 0.863245 |
| contradicted   | 辟谣            |        1 |
| correspond     | 通信            | 0.969102 |
| couples        | 该轮            |        1 |
| declares       | 表示            |        1 |
| derived        | 替彬格莱        | 0.923867 |
| despises       | 瞧不起          |        1 |
| destroyed      | 恨透了          | 0.817923 |
| died           | 是非曲直        | 0.807656 |
| dines          | 发窘            | 0.999478 |
| directing      | 变故            | 0.871972 |
| disapprove     | 节俭            | 0.990014 |
