select prob,count(*) from user_phase1 group by prob;
+--------+----------+
| prob   | count(*) |
+--------+----------+
| -1.000 |      997 |
|  1.000 |     1329 |
+--------+----------+

select prob,count(*) from user_phase2 group by prob;
+--------+----------+
| prob   | count(*) |
+--------+----------+
| -9.350 |      119 |
| -8.500 |       26 |
| -7.650 |       40 |
| -6.800 |       43 |
| -5.950 |      101 |
| -5.100 |       97 |
| -4.250 |      161 |
| -3.400 |      407 |
| -2.550 |     1645 |
| -1.700 |     4692 |
| -0.850 |    80735 |
|  0.000 |      151 |
|  0.850 |   187941 |
|  1.700 |    21348 |
|  2.550 |     7738 |
|  3.400 |     3996 |
|  4.250 |     2410 |
|  5.100 |     1587 |
|  5.950 |     1126 |
|  6.800 |      834 |
|  7.650 |      599 |
|  8.500 |      475 |
|  9.350 |     2873 |
+--------+----------+

select prob,count(*) from user_phase3 group by prob;
+--------+----------+
| prob   | count(*) |
+--------+----------+
| -9.945 |      212 |
| -9.903 |        5 |
| -9.818 |      112 |
| -9.690 |      261 |
| -9.647 |       66 |
| -9.562 |       22 |
| -9.478 |        5 |
| -9.223 |     2380 |
| -9.095 |       27 |
| -9.053 |        7 |
| -8.968 |       24 |
| -8.840 |       24 |
| -8.797 |      100 |
| -8.712 |        5 |
| -8.373 |      473 |
| -8.245 |       25 |
| -8.203 |       10 |
| -8.118 |       31 |
| -7.990 |       28 |
| -7.947 |      451 |
| -7.862 |        3 |
| -7.523 |      476 |
| -7.395 |       44 |
| -7.353 |       26 |
| -7.268 |       53 |
| -7.140 |       30 |
| -7.097 |        1 |
| -7.012 |        2 |
| -6.928 |        3 |
| -6.673 |      545 |
| -6.545 |       41 |
| -6.503 |      214 |
| -6.418 |       40 |
| -6.290 |       34 |
| -6.162 |        3 |
| -6.078 |        2 |
| -5.908 |        2 |
| -5.823 |      653 |
| -5.695 |       65 |
| -5.653 |        1 |
| -5.568 |      136 |
| -5.440 |       50 |
| -5.312 |        8 |
| -5.228 |        3 |
| -5.058 |      185 |
| -4.973 |     1041 |
| -4.845 |      174 |
| -4.718 |      133 |
| -4.590 |       96 |
| -4.547 |        1 |
| -4.462 |       16 |
| -4.378 |        4 |
| -4.123 |     1230 |
| -3.995 |      244 |
| -3.868 |      225 |
| -3.740 |      192 |
| -3.612 |       65 |
| -3.528 |        7 |
| -3.273 |     2304 |
| -3.145 |      429 |
| -3.018 |      472 |
| -2.890 |      815 |
| -2.678 |       15 |
| -2.423 |     3576 |
| -2.295 |      759 |
| -2.168 |     1960 |
| -2.040 |        4 |
| -1.828 |       24 |
| -1.573 |     8427 |
| -1.445 |     4144 |
| -1.318 |       16 |
| -0.978 |       51 |
| -0.723 |    81347 |
| -0.595 |       38 |
| -0.255 |        1 |
| -0.128 |      771 |
|  0.127 |      911 |
|  0.255 |        6 |
|  0.595 |       60 |
|  0.722 |  1167102 |
|  0.977 |      119 |
|  1.105 |        3 |
|  1.317 |       21 |
|  1.445 |   167748 |
|  1.572 |   173244 |
|  1.827 |       45 |
|  2.040 |       14 |
|  2.167 |    66942 |
|  2.295 |    32353 |
|  2.422 |    65171 |
|  2.677 |       23 |
|  2.762 |        5 |
|  2.890 |    31373 |
|  3.017 |    15167 |
|  3.060 |        1 |
|  3.145 |    13261 |
|  3.272 |    33994 |
|  3.485 |        4 |
|  3.527 |       11 |
|  3.612 |    15896 |
|  3.740 |     7407 |
|  3.867 |     6692 |
|  3.995 |     7417 |
|  4.122 |    20970 |
|  4.208 |        3 |
|  4.335 |    13565 |
|  4.377 |        6 |
|  4.462 |     4037 |
|  4.590 |     3490 |
|  4.717 |     3941 |
|  4.845 |     4693 |
|  4.972 |    14650 |
|  5.058 |     8033 |
|  5.185 |     3069 |
|  5.227 |        4 |
|  5.312 |     1744 |
|  5.440 |     1919 |
|  5.567 |     2543 |
|  5.653 |        1 |
|  5.695 |     3213 |
|  5.780 |     5729 |
|  5.822 |    10269 |
|  5.908 |     1771 |
|  6.035 |     1449 |
|  6.077 |        2 |
|  6.162 |     1040 |
|  6.290 |     1179 |
|  6.375 |        1 |
|  6.417 |     1900 |
|  6.503 |     5980 |
|  6.545 |     2277 |
|  6.630 |     1520 |
|  6.672 |     7919 |
|  6.758 |      743 |
|  6.885 |      834 |
|  6.927 |        2 |
|  7.012 |      698 |
|  7.097 |        6 |
|  7.140 |      859 |
|  7.225 |     3345 |
|  7.267 |     1376 |
|  7.353 |     1215 |
|  7.395 |     1715 |
|  7.480 |      746 |
|  7.522 |     6369 |
|  7.608 |      413 |
|  7.735 |      590 |
|  7.862 |      527 |
|  7.947 |    18325 |
|  7.990 |      630 |
|  8.075 |      705 |
|  8.117 |     1061 |
|  8.203 |      595 |
|  8.245 |     1396 |
|  8.330 |      410 |
|  8.372 |     5206 |
|  8.458 |      286 |
|  8.585 |      437 |
|  8.627 |        2 |
|  8.712 |      389 |
|  8.797 |     4600 |
|  8.840 |      499 |
|  8.925 |      300 |
|  8.967 |      835 |
|  9.053 |      311 |
|  9.095 |     1101 |
|  9.180 |     1397 |
|  9.222 |    42523 |
|  9.308 |      965 |
|  9.435 |     1928 |
|  9.477 |        3 |
|  9.562 |     2390 |
|  9.647 |     8801 |
|  9.690 |     3317 |
|  9.775 |      679 |
|  9.817 |     6131 |
|  9.903 |     1552 |
|  9.945 |     9409 |
+--------+----------+

