   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :0(Element)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
      125    0.000    0.000    0.000    0.000 :0(StringIO)
       51    0.003    0.000    0.003    0.000 :0(__contains__)
    14/12    0.013    0.001   14.127    1.177 :0(__import__)
      445    0.013    0.000    0.013    0.000 :0(__new__)
        8    0.000    0.000    0.000    0.000 :0(__subclasses__)
        8    0.000    0.000    0.000    0.000 :0(__subclasshook__)
       83    0.003    0.000    0.003    0.000 :0(_getframe)
      589    0.043    0.000    0.043    0.000 :0(abs)
       74    0.007    0.000    0.007    0.000 :0(access)
        6    0.000    0.000    0.000    0.000 :0(acquire)
      345    0.007    0.000    0.007    0.000 :0(acquire_lock)
      260    0.017    0.000    0.023    0.000 :0(add)
      268    0.007    0.000    0.007    0.000 :0(add_docstring)
      137    0.010    0.000    0.040    0.000 :0(all)
        7    0.000    0.000    0.000    0.000 :0(allocate_lock)
     2024    0.097    0.000    0.290    0.000 :0(any)
    92137    1.737    0.000    1.737    0.000 :0(append)
     2108    0.070    0.000    0.070    0.000 :0(array)
        3    0.000    0.000    0.000    0.000 :0(astype)
       23    0.000    0.000    0.000    0.000 :0(calcsize)
     3007    0.047    0.000    0.047    0.000 :0(chr)
        3    0.000    0.000    0.000    0.000 :0(clear)
       78    0.020    0.000    0.020    0.000 :0(close)
      191    0.010    0.000    0.010    0.000 :0(compile)
        1    0.000    0.000    0.000    0.000 :0(connect)
      152    0.010    0.000    0.010    0.000 :0(copy)
        1    0.000    0.000    0.013    0.013 :0(decode)
        2    0.000    0.000    0.000    0.000 :0(delattr)
       18    0.003    0.000    0.003    0.000 :0(dir)
        1    0.000    0.000    0.000    0.000 :0(dlopen)
       21    0.000    0.000    0.000    0.000 :0(empty)
      163    0.007    0.000    0.007    0.000 :0(end)
    28459    0.620    0.000    0.620    0.000 :0(endswith)
       11    0.003    0.000    0.003    0.000 :0(eval)
        1    0.000    0.000    0.000    0.000 :0(exp)
     5693    0.183    0.000    0.183    0.000 :0(expandtabs)
      160    0.000    0.000    0.000    0.000 :0(extend)
        5    0.000    0.000    0.000    0.000 :0(filter)
     2017    0.030    0.000    0.030    0.000 :0(find)
     3032    0.303    0.000    0.303    0.000 :0(find_module)
       20    0.000    0.000    0.000    0.000 :0(findall)
      283    0.013    0.000    0.013    0.000 :0(format)
       11    0.003    0.000    0.003    0.000 :0(fromkeys)
     5513    0.110    0.000    0.113    0.000 :0(get)
        6    0.000    0.000    0.000    0.000 :0(get_ident)
     1690    0.027    0.000    0.027    0.000 :0(getattr)
       29    0.003    0.000    0.003    0.000 :0(getcwd)
        8    0.000    0.000    0.000    0.000 :0(geterrobj)
      220    0.010    0.000    0.010    0.000 :0(getlower)
      127    0.003    0.000    0.003    0.000 :0(getpid)
        1    0.000    0.000    0.000    0.000 :0(getuid)
       61    0.000    0.000    0.000    0.000 :0(getvalue)
       92    0.007    0.000    0.007    0.000 :0(globals)
     1888    0.030    0.000    0.030    0.000 :0(group)
      260    0.010    0.000    0.010    0.000 :0(groups)
      641    0.030    0.000    0.030    0.000 :0(hasattr)
      123    0.007    0.000    0.007    0.000 :0(hash)
        2    0.000    0.000    0.000    0.000 :0(hexlify)
      296    0.003    0.000    0.003    0.000 :0(index)
        6    0.000    0.000    0.000    0.000 :0(insert)
      338    0.013    0.000    0.013    0.000 :0(isalnum)
       55    0.000    0.000    0.000    0.000 :0(isalpha)
       51    0.000    0.000    0.000    0.000 :0(isdigit)
    12217    0.230    0.000    0.230    0.000 :0(isinstance)
  122/111    0.003    0.000    0.010    0.000 :0(issubclass)
      396    0.000    0.000    0.000    0.000 :0(items)
   155287    3.447    0.000    3.447    0.000 :0(iter)
        9    0.000    0.000    0.000    0.000 :0(iteritems)
9258/9246    0.163    0.000   33.617    0.004 :0(join)
       18    0.000    0.000    0.000    0.000 :0(keys)
48274/47370    0.853    0.000    0.870    0.000 :0(len)
       24    0.017    0.001    0.017    0.001 :0(listdir)
       10    0.017    0.002    0.017    0.002 :0(load_module)
        6    0.000    0.000    0.000    0.000 :0(locals)
        4    0.000    0.000    0.000    0.000 :0(log)
        2    0.000    0.000    0.000    0.000 :0(log10)
     7637    0.113    0.000    0.113    0.000 :0(lower)
    17135    0.700    0.000    0.700    0.000 :0(lstat)
    11890    0.193    0.000    0.193    0.000 :0(lstrip)
      312    0.020    0.000    3.960    0.013 :0(map)
     1491    0.077    0.000    0.077    0.000 :0(match)
      387    0.010    0.000    0.010    0.000 :0(max)
    12576    0.230    0.000    0.237    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(new_module)
       83    0.000    0.000    0.000    0.000 :0(open)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
     3337    0.087    0.000    0.087    0.000 :0(ord)
    17135    0.307    0.000    0.307    0.000 :0(partition)
      259    0.007    0.000    0.007    0.000 :0(pop)
        6    0.000    0.000    0.000    0.000 :0(random)
      802    0.010    0.000    0.010    0.000 :0(range)
     5902    0.113    0.000    0.113    0.000 :0(read)
       43    0.000    0.000    0.000    0.000 :0(readlink)
       61    0.000    0.000    0.000    0.000 :0(recv)
     2024    0.137    0.000    0.137    0.000 :0(reduce)
        5    0.000    0.000    0.000    0.000 :0(release)
      345    0.007    0.000    0.007    0.000 :0(release_lock)
      329    0.000    0.000    0.000    0.000 :0(remove)
     2464    0.050    0.000    0.050    0.000 :0(replace)
       57    0.000    0.000    0.000    0.000 :0(repr)
        5    0.000    0.000    0.000    0.000 :0(reverse)
     2168    0.050    0.000    0.050    0.000 :0(rfind)
      357    0.000    0.000    0.000    0.000 :0(rstrip)
        1    0.000    0.000    0.000    0.000 :0(search)
        2    0.000    0.000    0.000    0.000 :0(seed)
      308    0.010    0.000    0.010    0.000 :0(seek)
       61    0.010    0.000    0.010    0.000 :0(sendall)
        1    0.000    0.000    0.000    0.000 :0(set_conversion_mode)
        2    0.000    0.000    0.000    0.000 :0(set_string_function)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
      292    0.000    0.000    0.000    0.000 :0(setattr)
     2236    0.053    0.000    0.053    0.000 :0(setdefault)
        5    0.000    0.000    0.000    0.000 :0(seterrobj)
        1    0.027    0.027    0.027    0.027 :0(setprofile)
        3    0.000    0.000    0.000    0.000 :0(setter)
        1    0.000    0.000    0.000    0.000 :0(settimeout)
       50    0.000    0.000    0.000    0.000 :0(sizeof)
        2    0.000    0.000    0.000    0.000 :0(sort)
        2    0.000    0.000    0.000    0.000 :0(sorted)
   168499    4.357    0.000    4.357    0.000 :0(split)
     5737    0.200    0.000    0.200    0.000 :0(splitlines)
        2    0.000    0.000    0.000    0.000 :0(sqrt)
   188588    4.697    0.000    4.697    0.000 :0(startswith)
     1132    0.053    0.000    0.053    0.000 :0(stat)
      517    0.013    0.000    0.013    0.000 :0(strip)
1749/1730    0.097    0.000    0.167    0.000 :0(sub)
        4    0.000    0.000    0.000    0.000 :0(sum)
        1    0.000    0.000    0.000    0.000 :0(sysconf)
      124    0.000    0.000    0.000    0.000 :0(tell)
        3    0.000    0.000    0.000    0.000 :0(time)
       11    0.000    0.000    0.000    0.000 :0(title)
        1    0.000    0.000    0.000    0.000 :0(tolist)
        1    0.000    0.000    0.000    0.000 :0(tostring)
      117    0.000    0.000    0.000    0.000 :0(translate)
        1    0.000    0.000    0.000    0.000 :0(uname)
        1    0.000    0.000    0.000    0.000 :0(unlink)
     1486    0.023    0.000    0.023    0.000 :0(unpack)
       84    0.007    0.000    0.007    0.000 :0(update)
        4    0.000    0.000    0.000    0.000 :0(upper)
        2    0.000    0.000    0.000    0.000 :0(urandom)
        1    0.013    0.013    0.013    0.013 :0(utf_8_decode)
        5    0.000    0.000    0.000    0.000 :0(values)
       11    0.000    0.000    0.000    0.000 :0(vars)
        1    0.000    0.000    0.000    0.000 :0(view)
      156    0.013    0.000    0.013    0.000 :0(write)
       13    0.000    0.000    0.000    0.000 :0(zeros)
       40    0.000    0.000    0.000    0.000 :0(zip)
  363/350    0.070    0.000    0.143    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.003    0.003    0.003    0.003 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
