ARYA:13, 戴斯蒙爵士:distance:15
Aegon:57, 临冬城的:distance:196
Blackwater:54, 父亲大人:distance:150
Bran:272, 尖:distance:135
Brienne:190, 蕾:distance:49
Casterly:69, 兰尼斯特家:distance:128
Dany:335, 这是:distance:67
Don:46, 卡史塔克:distance:150
Dragonstone:54, 三叉戟河:distance:220
Eddard:43, 在那儿:distance:235
Emmett:11, 梅特:distance:1
Follard:9, 聋子迪克:distance:27
Freys:48, 的消息:distance:224
Gendel:10, 乳鸽:distance:55
Grace:264, 兰尼斯特:distance:22
Grenn:101, 的时候:distance:178
Harrenhal:103, 告诉他:distance:130
Hoster:49, 斯特公爵:distance:194
JAIME:9, 矮个女人:distance:5
Jack:30, 多斯拉克人:distance:190
Jeyne:51, 的朋友:distance:217
Jinglebell:11, 火坑:distance:94
Jojen:106, 维斯特:distance:169
Lannister:263, 我是:distance:62
Lark:20, 布朗:distance:34
Lothar:47, 先民拳峰:distance:180
Maester:162, 的脸:distance:91
Magister:11, 泰坦私生子:distance:233
May:21, 善主大人:distance:183
Meereenese:9, 格罗莱船长:distance:175
Megga:10, 卡史塔克大人:distance:244
Melisandre:92, 珊卓:distance:203
Naharis:14, 贝勒里恩号:distance:92
Nakloz:17, 法官:distance:68
Ollo:10, 梅姬:distance:227
Prince:138, 那个:distance:135
Seven:84, 无垢者:distance:180
Shagwell:11, 感谢您:distance:208
Silver:11, 卡史塔克伯爵:distance:169
Sisterman:10, 路障:distance:63
Skirling:9, 风声峡:distance:15
Stone:33, 维斯特林:distance:149
Stoney:9, 石堂镇:distance:10
Storm:51, 所有的:distance:169
Summer:57, 大人们:distance:210
Tarly:50, 的男孩:distance:228
Tully:61, 巨大的:distance:209
Tyrell:176, 的声:distance:175
Westeros:57, 哈哈大笑:distance:170
