Cate	Senti	微博原始内容
brand	p	荷包蛋和士力架相遇了
purchase	p	来块儿士力架[doge]
brand	p	来看看我拍的MV：昨天一帮人讨论男的变女的可以去泰国，女的变男的怎么办，旁边一个悠悠的声音说，来块士力架吧，点此播放>>http://t.cn/RhqXMjb（通过 #美拍# 录制）
tf	p	#TFBOYS年代秀# #王俊凯快去演电影# #王俊凯饮食要均衡# ##王俊凯##王俊凯生日快乐# #王俊凯是唯一的神话# #王俊凯遇上士力架能量无限大# 王俊凯早上好  http://t.cn/RPTeb7a
brand	p	来看看我拍的MV：昨天和朋友讨论男的变女的可以去泰国，女的变男的怎么办。。旁边一个悠悠的声音说，来块士力架吧，点此播放>>http://t.cn/Rhqxtpn（通过 #美拍# 录制）
tf	ne	还好我不喜欢吃士力架
product	p	快来条士力架咩→_→//@金发大头小蘑菇9095:机票也掉…饿货啊
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
tf	p	#TFBOYS年代秀# #王俊凯快去演电影#  #王俊凯饮食要均衡# ##王俊凯##王俊凯生日快乐# #王俊凯是唯一的神话# #王俊凯遇上士力架能量无限大# 管他什么话题使劲刷！  http://t.cn/RPTeb7a
tf	ne	突然想起来士力架没动静了//@王俊凯后援会官博:#TFBOYS王俊凯# 啊啊啊啊啊～给我一杯忘情水[崩溃][崩溃][崩溃]
product	p	饿货，来条士力架！
product	p	刚来那几天，坐地上之前大家还垫张纸，中午带的干粮还很天真，都是些士力架、巧克力、面包、瑞士卷、火腿肠什么的。爬了两天山以后，大家都务实多了。席地而坐，啃着馒头就着榨菜海带丝，恩，屌丝气质潜移默化中～～～ http://t.cn/RhGSQud
brand	p	#两个月亮# 怎么就想到士力架的广告了 这么恐怖 这妹纸还一直想着吃 要不要搞得这么萌 @打不死的周小强2013 
product	nu	我今生吃的第一块士力架竟然是唐世宇家若芸的百日庆礼 以后看到士力架就想到老唐 还能愉快的忘记吗？[哼]
product	nu	职工估计忙着吃面包榨菜士力架呢。[哼]@北京牌姜小熊
product	p	这5天谢谢你们陪我.想家.哭泣.一起敷面膜吓宿管在宿舍我是皇上哈哈军训的时候教官还专门买了士力架给我别人没有的喔突然觉得自己很.虽然哭了...谢谢了.My love
funny	p	看了评论 有人说士力架哈哈哈哈哈//@隔壁女校小葵阿姨:三国无双甄宓那个箫！
product	p	宝宝，动作似曾相识，来份士力架吧[偷乐]
tf	nu	//@王俊凯微吧:#TFBOYS王俊凯# #王俊凯# 士力架 横扫饥饿 补充能量，和大哥一样酷，要不要来个………[害羞][哈哈] //@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
tf	nu	//@BelovedGloryWJK荣光:#王俊凯遇上士力架能量无限大# 甜蜜士力架[好喜欢]考虑代言来一发吗[羞嗒嗒]//@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
fist	p	少女进食中…憨豆版灵梦…不对，是灵梦版憨豆…UP主你的脑洞可以停一停了吗？是不是最近看电视上的士力架广告看多了？！用饿货拳来决斗，吃士力架回血也是很可以嘛…不过我的疑问是：西洋饿货明明应该是幽幽子sama！#憨豆饿货拳# http://t.cn/RhLACbV  13925084650
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	嗯，来劲了  //@免费办理平壤户口非诚勿扰:这孩子，饿货来条士力架 //【偷吃月饼后放回空盒子 小伙弄虚作假只为奶奶不担心】http://t.cn/RhGAMww (分享自 @今日头条)
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
other	nu	韩国进口，锦大MA巧克力棒。吃起来感觉有点像士力架的感觉，不过没士力架那么甜，而且巧克力棒中间的夹心吃起来真的不知道怎么形容，酥酥的，很想再咬一口。平时在包里放一个，真的可以抵挡饥饿噢！ http://t.cn/RPg90rw
tf	p	//@TF天涯姐姐团: 代言看过来[来] //@玨玺共和国秘书掌:给三个儿子艹代言。//@逢飞必手癌的元芳阿姨_TF老年团: 代言给我看过来！！上热门其他代言看过来也行啊！求有眼力的企宣！//@士力架中国: 小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
other	nu	士力架 http://t.cn/8FEVieV
product	p	我比较推荐的补水剂，一包可以冲一瓶到两瓶，具体看天气和强度！吃的嘛，能量胶个人觉得酱油骑，非竞赛争取名次的情况下完全没必要！士力架，嚼一嚼，德福巧克力，都是很好的选择！
fist	p	停不下来了！中国大妈上头条的脚步根本停不下来！全新广场舞#憨豆饿货拳#，就这么突如其来的扑面而来。大妈们再这样作下去的话，只有随时给她们准备士力架，才能拯救她们了。http://t.cn/RhUNpnD
product	p	饿货来条士力架吧。。[泪]
