I: 道:134452751 说:314097896 那:417646681 

The: 好:65853406 着:73049244 什么:85502546 

He: 于:41195013 点:82564359 所:88189283 

It: 于:68010697 谢顿:76059635 话:81326265 

You: 洛:17660303 后:114230700 行:129203736 

And: 洛:13462168 谢顿:26216802 话:61770420 

Hardin: 韩:2064903 韩定:2124508 马洛:13122893 

Foundation: 马洛:37345847 麽:42231045 洛:54917978 

Mallow: 马洛:350342 麽:5318913 洛:19182191 

But: 马洛:6571784 麽:8049556 乔若南:71585808 

Seldon: 麽:213812922 谢东:276909939 区:374188917 

There: 麽:9192351 乔若南:49117935 德莫泽尔:95934663 

What: 什麽:18953695 德莫泽尔:56409147 乔若南:84191714 

That: 尼克:15830450 什麽:20897936 怎么:97691928 

Anacreon: 安略南:3133924 尼克:19192761 什麽:20087892 

A: 尼克:15720071 什麽:18329720 後:72124794 

They: 尼克:6984161 後:19604856 什麽:23800929 

We: 尼克:16455009 什麽:47714853 後:64591871 

Empire: 尼克:3862274 後:54983476 什麽:79069087 

Gaal: 尼克:149613 後:27884542 什麽:38720361 

In: 彭:1942232 尼克:7104837 後:11041095 

If: 晔:4056840 彭晔慈:4056840 彭:4258196 

No: 晔:859262 彭晔慈:859262 彭:1001851 

Well: 彭:3556846 彭晔慈:3812843 晔:3812843 

Sutt: 晔:33785635 彭晔慈:33785635 彭:34852828 

Terminus: 彭晔慈:3606518 晔:3606518 彭:10650964 

Wienis: 魏:1362374 魏逆泗:1362374 泗:1362374 

Ponyets: 彭:37323 彭晔慈:186959 晔:186959 

Pirenne: 彭晔慈:1983227 晔:1983227 琏:2179880 

His: 彭:4191180 彭晔慈:5254896 晔:5254896 

Trantor: 晔:56669665 彭晔慈:56669665 皮琏:110456010 

Galaxy: 皮琏:11321794 琏:11321794 庹遐:56355101 

Twer: 庹:32716 皮琏:20908137 琏:20908137 

Yes: 琏:5279193 皮琏:5279193 赖魄德:46827210 

Emperor: 皮琏:31571766 琏:31571766 赖魄德:40075496 

Your: 皮琏:19079695 琏:19079695 於:78476477 

Galactic: 琏:12856186 皮琏:12856186 於:36495891 

Master: 祖师:19817805 高洛夫:33431448 赖魄德:35369287 

Hari: 高洛夫:23143316 赖魄德:32026678 祖师:35245171 

Now: 高洛夫:11794531 於:17604604 祖师:48885052 

Commdor: 统领:40408 高洛夫:55050074 赖魄德:61702763 

Why: 高洛夫:13603330 赖魄德:14997278 祖师:27437002 

Lepold: 赖魄德:7383771 祖师:24366556 高洛夫:35858657 

How: 贾:8818870 高洛夫:11714670 祖师:35160069 

Sermak: 高洛夫:16974630 贾:25908927 祖师:56678497 

Lee: 高洛夫:17948439 贾:26885839 赖魄德:35792152 

For: 高洛夫:9081742 贾:12139022 祖师:43125350 

All: 高洛夫:8836337 贾:16642317 祖师:40021358 

Then: 高洛夫:4455349 贾:14554218 祖师:46679093 

Q: 高洛夫:98218722 祖师:110738116 贾:130409941 

Dr: 祖师:20948673 贾:23649027 高洛夫:34294888 

This: 高洛夫:6533942 贾:8533666 赖魄德:25115394 

Not: 技正:320084 费尔:4269801 高洛夫:19066458 

My: 技正:526871 费尔:5618732 高洛夫:27422886 

Let: 技正:914416 费尔:3740179 贾:12954052 

When: 技正:171928 费尔:1727697 贾:7532880 

Grand: 祖师:20040 技正:189919 费尔:2387816 

Gorov: 高洛夫:58046 技正:1132527 费尔:2451255 

Encyclopedia: 技正:1401574 费尔:6062613 祖师:10878224 

Jael: 贾:72100 技正:860040 费尔:1821792 

As: 技正:734756 费尔:881884 高洛夫:6545282 

Verisof: 佛瑞苏:326971 技正:964242 费尔:2659321 

Oh: 技正:617032 费尔:3447302 高洛夫:4819617 

Do: 费尔:1758156 技正:2985593 贾安轲:6772640 

At: 技正:426421 费尔:1723687 贾:9478889 

So: 技正:246590 费尔:4195435 叔:9500820 

Korell: 技正:1094458 费尔:3411076 高洛夫:9819844 

Board: 技正:2628047 费尔:5594809 叔:9816361 

Pherl: 费尔:28427 技正:823847 叔:5685598 

With: 技正:240128 费尔:2252033 叔:11301488 

To: 技正:538973 费尔:1197837 轲:7197124 

Spirit: 技正:659729 费尔:1668501 叔:6402783 

Salvor: 技正:1198864 费尔:1475540 侬:6545567 

Periphery: 技正:525319 费尔:1717942 侬:2346086 

Imperial: 白奥侬:461879 侬:461879 技正:1926328 

Don: 费尔:588987 技正:615412 白奥侬:3660739 

Lord: 叔:8161899 侬:18988439 白奥侬:18988439 

Is: 侬:2820299 白奥侬:2820299 肥佬:9952157 

By: 侬:2294884 白奥侬:2294884 叔:6262764 

Smyrno: 白奥侬:2190025 侬:2190025 叔:10818403 

Fara: 肥佬:46842 侬:4366094 白奥侬:4366094 

City: 白奥侬:4007015 侬:4007015 叔:12382427 

Barr: 侬:2394 白奥侬:2394 陶:6280331 

Where: 侬:3877009 白奥侬:3877009 肥佬:5844787 

Dorwin: 白奥侬:3803467 侬:3803467 叔:5660133 

Of: 白奥侬:2003190 侬:2003190 古乐伯:11574751 

Have: 侬:1010398 白奥侬:1010398 古乐伯:23623404 

Doubleday: 陶:2872432 侬:3782117 白奥侬:3782117 

Vault: 侬:2831384 白奥侬:2831384 古乐伯:11959805 

On: 侬:1769755 白奥侬:1769755 园丁:19494441 

Just: 侬:3834812 白奥侬:3834812 肥佬:11856061 

Jord: 肥佬:5364631 侬:7202561 白奥侬:7202561 

Bort: 园丁:14869701 白奥侬:16705715 侬:16705715 

Are: 侬:1589880 白奥侬:1589880 园丁:15265841 

Rodric: 勾烈:33091 白奥侬:12608957 侬:12608957 

One: 勾烈:35511 侬:680831 白奥侬:680831 

Mayor: 勾烈:216080 叔叔:4470852 侬:8341353 

Kingdoms: 勾烈:88160 白奥侬:2104365 侬:2104365 

Hober: 勾烈:53023 白奥侬:3154414 侬:3154414 

Good: 勾烈:78597 白奥侬:2288879 侬:2288879 

Anacreonian: 勾烈:45403 侬:3328405 白奥侬:3328405 

Veneration: 勾烈:84612 叔叔:9957826 杜:14267686 

Perhaps: 勾烈:71398 叔叔:11114600 杜:21474025 

Even: 勾烈:35133 叔叔:7977475 园丁:22894866 

Council: 勾烈:157812 叔叔:9778843 园丁:28930909 

Askone: 勾烈:311497 园丁:3384911 叔叔:16580514 

Siwenna: 勾烈:150923 园丁:1289303 叔叔:24355194 

Listen: 勾烈:67628 叔叔:11620342 杜:23380035 

Jorane: 勾烈:146972 叔叔:13206691 园丁:26668842 

Here: 勾烈:33918 叔叔:6757268 杜:9028182 

Very: 勾烈:47804 州:809304 御花园:3781300 

University: 勾烈:362128 州:2577949 御花园:6449827 

Trader: 勾烈:276965 叔叔:4802120 州:5729068 

Parma: 勾烈:219436 州:1991015 御花园:6018863 

Mr: 勾烈:43638 州:1377578 御花园:4725363 

Manlio: 孟:115161 勾烈:376274 州:1774939 

Jaim: 勾烈:134930 州:2795047 叔叔:5694555 

Gorm: 勾烈:1136 州:876099 御花园:4515707 

Four: 勾烈:90688 州:1042125 御花园:4593525 

Can: 勾烈:104885 州:905800 御花园:4844532 

Aporat: 勾烈:51912 州:2121317 御花园:4980178 

Ah: 勾烈:379198 州:5496855 御花园:11138330 

Space: 勾烈:23372 州:1324657 御花园:4332980 

Haut: 州:329735 勾烈:425685 园丁:975218 

Commission: 勾烈:75662 州:2573429 御花园:3877373 

Come: 勾烈:50973 州:763829 御花园:2366884 

Chen: 勾烈:169144 州:4315240 叔叔:8357880 

Yet: 勾烈:60717 州:810953 御花园:4133732 

Trustees: 勾烈:154118 州:663258 御花园:5004697 

Star: 勾烈:140360 州:3503132 御花园:7725638 

Smyrnian: 勾烈:193409 州:4053062 叔叔:4387157 

Or: 勾烈:75497 州:2958617 御花园:6976068 

King: 勾烈:98252 州:510237 御花园:4001836 

Get: 勾烈:39052 州:1838209 叔叔:4677248 

First: 勾烈:51043 州:1001393 御花园:3876851 

After: 勾烈:125458 州:528800 御花园:3121079 

Two: 州:2305143 御花园:6457723 叶富瀚:21199661 

Since: 州:2467096 御花园:5968083 瀚:10662689 

Second: 州:480041 御花园:3816748 叶富瀚:20617171 

Our: 州:608055 御花园:3000241 叶富瀚:26204824 

Maybe: 州:3911860 御花园:8286419 叶富瀚:19060447 

Look: 州:991232 御花园:2892600 叶富瀚:16133709 

Lefkin: 州:3973451 御花园:8107093 瀚:14937935 

Korellian: 州:901962 御花园:5412644 赚:13674058 

However: 州:431870 御花园:3787633 巡洋舰:11259630 

From: 州:1915745 御花园:4957222 叶富瀚:7679310 

Far: 御花园:3572538 州:3856838 巡洋舰:49815822 

Fall: 州:2199853 御花园:6684012 叶富瀚:31450011 

Campbell: 御花园:2528450 州:3025948 叶富瀚:60609598 

THE: 州:108022 御花园:1719759 琪:6146243 

State: 啮:890196 啮狗:890196 州:900831 

She: 州:3732487 祝福:6046113 御花园:8408625 

Nothing: 州:584185 御花园:3835512 琪:6613929 

None: 州:527816 啮:2195390 啮狗:2195390 

Journal: 琪:963723 州:1610486 御花园:5220294 

GALACTICA: 州:504084 啮:1413867 啮狗:1413867 

Fulham: 叶富瀚:2019 州:1427795 琪:1822655 

Five: 琪:2074584 州:2383185 御花园:6152482 

ENCYCLOPEDIA: 州:504084 啮:1413867 啮狗:1413867 

Dornick: 州:842094 琪:2734009 御花园:2849099 

Did: 州:1227005 叶富瀚:4975374 御花园:5284498 

Certainly: 州:391369 御花园:3715399 啮:7139652 

Because: 州:912613 御花园:3089624 啮:7498749 

Askonian: 州:1114973 御花园:3373991 啮:8358662 

An: 州:1039332 琪:2498109 御花园:3478627 

Would: 俺:3047 啮:512756 啮狗:512756 

Those: 俺:2579 琪:4608072 午夜:6096235 

These: 俺:10733 午夜:6937818 啮:10688591 

Tell: 俺:669 琪:1579614 叶富瀚:8392890 

Sun: 俺:2174 琪:5495073 叶富瀚:8885029 

Its: 俺:10011 午夜:300783 啮:816583 

Go: 俺:3766 啮:1373958 啮狗:1373958 

Every: 俺:529 琪:2413644 午夜:5925496 

Consider: 俺:915 琪:12023749 午夜:12285856 

Asper: 俺:8187 啮:479891 啮狗:479891 

Advocate: 俺:6573 午夜:5667795 琪:6369123 

Yohan: 诽谤:2645 诽:2645 斧:4068 

Will: 俺:1055 斧:4020 诽谤:9537 

Who: 斧:636 诽谤:3126 诽:3126 

Trilogy: 斧:6731 俺:9429 诽谤:16491 

Their: 斧:939 诽谤:4928 诽:4928 

Take: 俺:1212 斧:5322 诽谤:5780 

Suppose: 斧:4491 俺:5067 诽谤:15094 

Press: 斧:1173 俺:2503 诽谤:3917 

Only: 栏:1893 诽谤:3435 诽:3435 

Never: 诽谤:815 诽:815 斧:1741 

May: 俺:4899 斧:7044 诽谤:11322 

Jerril: 俺:2864 斧:5761 诽谤:10649 

Isn: 俺:1757 斧:2536 诽谤:2777 

Gnome: 斧:1173 俺:2573 诽谤:3917 

Encyclopedists: 斧:2437 俺:5112 诽谤:12866 

Eh: 俺:4862 斧:6312 诽谤:15098 

Does: 斧:3086 俺:3760 诽谤:7175 

Commissioner: 斧:931 俺:6758 诽谤:7699 

Commdora: 斧:3763 诽谤:10903 诽:10903 

Besides: 斧:558 俺:4205 诽谤:8012 

Avakim: 斧:1711 诽谤:2099 诽:2099 

Visual: 俺:326 斧:6789 诽谤:14537 

Tinter: 斧:1888 俺:2007 诽谤:2462 

Time: 俺:4585 诽谤:6135 诽:6135 

Temple: 俺:6119 斧:8244 诽谤:8416 

Surely: 乌鸦:818 鸦:818 俺:8659 

Such: 俺:1667 斧:2347 诽谤:5910 

Spaceship: 悔:58 斧:6361 俺:14668 

Right: 斧:883 俺:6137 诽谤:13324 

Record: 俺:326 斧:6789 诽谤:14541 

Quite: 俺:1803 骆:1979 驼:2092 

Prefect: 斧:5966 俺:15183 诽谤:15849 

Once: 俺:5450 斧:6905 诽谤:16398 

Nyak: 斧:4519 俺:6452 诽谤:11138 

Nor: 俺:3194 斧:5227 诽谤:13828 

January: 俺:5896 斧:8542 驼:12181 

Indeed: 俺:4883 斧:7632 诽谤:13628 

Hold: 斧:2123 俺:2779 诽谤:6929 

Gold: 耿:54 哥:76 嶙:254 

Fifty: 诽谤:10662 诽:10662 斧:11558 

Exactly: 斧:827 俺:2751 诽谤:3769 

Chief: 斧:783 俺:3925 诽谤:4862 

Before: 俺:1747 斧:5053 诽谤:8445 

Ankor: 斧:751 诽谤:3705 诽:3705 

Anacreonians: 俺:1446 斧:5469 诽谤:6749 

Actionist: 诽谤:11932 诽:11932 俺:12509 

Without: 斧:3192 诽谤:9303 诽:9303 

Was: 斧:1532 诽谤:3008 诽:3008 

Walto: 斧:1026 诽谤:6119 诽:6119 

True: 斧:1464 诽谤:12431 诽:12431 

Trade: 斧:3979 诽谤:20404 诽:20404 

Sure: 斧:14494 诽谤:15281 诽:15281 

Supervisor: 诽谤:1630 诽:1630 斧:1894 

